day	Volume	price
100	1000	3000
101	1100	3002
102	1200	3004
103	1300	3006
104	1400	3008
105	1500	3010
106	1600	3012
107	1700	3014
108	1800	3016
109	1900	3018
110	2000	3020
111	2100	3022
112	2200	3024
113	2300	3026
114	2400	3028
115	2500	3030
116	2600	3032
117	2700	3034
118	2800	3036
119	2900	3038
120	3000	3040
121	3100	3042
122	3200	3044
123	3300	3046
124	3400	3048
125	3500	3050
126	3600	3052
127	3700	3054
128	3800	3056
129	3900	3058
130	4000	3060
131	4100	3062
132	4200	3064
133	4300	3066
134	4400	3068
135	4500	3070
136	4600	3072
137	4700	3074
138	4800	3076
139	4900	3078
140	5000	3080
141	5100	3082
142	5200	3084
143	5300	3086
144	5400	3088
145	5500	3090
146	5600	3092
147	5700	3094
148	5800	3096
149	5900	3098
150	6000	3100
151	6100	3102
152	6200	3104
153	6300	3106
154	6400	3108
155	6500	3110
156	6600	3112
157	6700	3114
158	6800	3116
159	6900	3118
160	7000	3120
161	7100	3122
162	7200	3124
163	7300	3126
164	7400	3128
165	7500	3130
166	7600	3132
167	7700	3134
168	7800	3136
169	7900	3138
170	8000	3140
171	8100	3142
172	8200	3144
173	8300	3146
174	8400	3148
175	8500	3150
176	8600	3152
177	8700	3154
178	8800	3156
179	8900	3158
180	9000	3160
181	9100	3162
182	9200	3164
183	9300	3166
184	9400	3168
185	9500	3170
186	9600	3172
187	9700	3174
188	9800	3176
189	9900	3178
190	10000	3180
191	10100	3182
192	10200	3184
193	10300	3186
194	10400	3188
195	10500	3190
196	10600	3192
197	10700	3194
198	10800	3196
199	10900	3198
200	11000	3200
201	11100	3202
202	11200	3204
203	11300	3206
204	11400	3208
205	11500	3210
206	11600	3212
207	11700	3214
208	11800	3216
209	11900	3218
210	12000	3220
211	12100	3222
212	12200	3224
213	12300	3226
214	12400	3228
215	12500	3230
216	12600	3232
217	12700	3234
218	12800	3236
219	12900	3238
220	13000	3240
221	13100	3242
222	13200	3244
223	13300	3246
224	13400	3248
225	13500	3250
226	13600	3252
227	13700	3254
228	13800	3256
229	13900	3258
230	14000	3260
231	14100	3262
232	14200	3264
233	14300	3266
234	14400	3268
235	14500	3270
236	14600	3272
237	14700	3274
238	14800	3276
239	14900	3278
240	15000	3280
241	15100	3282
242	15200	3284
243	15300	3286
244	15400	3288
245	15500	3290
246	15600	3292
247	15700	3294
248	15800	3296
249	15900	3298
250	16000	3300
251	16100	3302
252	16200	3304
253	16300	3306
254	16400	3308
255	16500	3310
256	16600	3312
257	16700	3314
258	16800	3316
259	16900	3318
260	17000	3320
261	17100	3322
262	17200	3324
263	17300	3326
264	17400	3328
265	17500	3330
266	17600	3332
267	17700	3334
268	17800	3336
269	17900	3338
270	18000	3340
271	18100	3342
272	18200	3344
273	18300	3346
274	18400	3348
275	18500	3350
276	18600	3352
277	18700	3354
278	18800	3356
279	18900	3358
280	19000	3360
281	19100	3362
282	19200	3364
283	19300	3366
284	19400	3368
285	19500	3370
286	19600	3372
287	19700	3374
288	19800	3376
289	19900	3378
290	20000	3380
291	20100	3382
292	20200	3384
293	20300	3386
294	20400	3388
295	20500	3390
296	20600	3392
297	20700	3394
298	20800	3396
299	20900	3398
300	21000	3400
301	21100	3402
302	21200	3404
303	21300	3406
304	21400	3408
305	21500	3410
306	21600	3412
307	21700	3414
308	21800	3416
309	21900	3418
310	22000	3420
311	22100	3422
